Event Type,Sponsor Types,Sponsor Costs,Expected Footfall,Budget,Total Revenue,ROI
Entertainment and media events,Influencer|Media Sponsorship|Media Sponsorship|Food Stalls,43153.04|83496.85|65680.09|16648.04,14437,161667.52,260256.65,60.98
Virtual event,Merchandise|Philanthropy|Media Sponsorship,49820.21|53864.79|61420.02,2935,108283.84,159554.85,47.35
Conferences and seminars,Influencer|Philanthropy|Financial|Merchandise|Philanthropy,6837.32|96869.52|125648.28|46530.5|94160.46,4006,266076.78,348935.67,31.14
Sports events,Philanthropy|Financial|In Kind|Media Sponsorship|Food Stalls,63400.77|68061.56|95539.21|60311.57|30322.84,10082,235698.07,327482.39,38.94
Sports events,In Kind|Media Sponsorship|Merchandise|In Kind|Food Stalls,79547.48|68421.44|41170.47|8576.6|14255.96,55305,139187.93,179421.92,28.91
Entertainment and media events,Influencer|Merchandise|In Kind|Influencer,96630.2|23368.33|91070.05|40021.79,49550,202243.82,264167.32,30.62
Community and Charity events,Philanthropy|Media Sponsorship|Financial|Financial|Influencer,85147.68|84371.76|172744.3|132577.19|30940.8,2766,393067.47,625350.66,59.09
Conferences and seminars,Media Sponsorship|In Kind|Philanthropy,68486.83|15130.18|37670.27,1391,87475.48,165008.69,88.63
Festivals and fairs,Influencer|Financial,52643.82|2616.03,56417,34528.5,68806.4,99.27
Conferences and seminars,Merchandise,29317.85,659,19948.88,26809.8,34.39
Community and Charity events,Financial|Merchandise|Media Sponsorship,190014.14|2571.63|32251.98,1677,164944.01,314339.64,90.57
Virtual event,Financial,8227.27,2285,5059.26,6549.86,29.46
Sports events,Food Stalls|In Kind|In Kind|Philanthropy,48960.04|8374.15|92443.5|30161.24,3591,149131.79,220444.9,47.82
Community and Charity events,Media Sponsorship|Influencer|Media Sponsorship|Philanthropy,7553.77|44575.0|54034.58|54788.21,354,100448.45,133502.55,32.91
Community and Charity events,Philanthropy|Merchandise,9913.72|18604.32,4085,20852.06,35806.02,71.71
Sports events,Merchandise|Philanthropy,9567.33|5685.69,56714,9855.3,17955.32,82.19
Entertainment and media events,Media Sponsorship,60443.47,31480,50631.77,63479.03,25.37
Virtual event,Influencer|Merchandise|Merchandise|Merchandise|Philanthropy,20799.86|10465.72|18719.63|41886.97|6266.33,4346,59217.68,113530.41,91.72
Community and Charity events,Influencer|Philanthropy|Philanthropy|Philanthropy|Financial,5627.63|32254.47|33066.91|85352.66|175745.75,4280,233360.88,268045.92,14.86
Virtual event,Media Sponsorship|Influencer|Financial,68400.53|68012.99|31451.66,4997,126923.23,166848.77,31.46
Conferences and seminars,In Kind,38349.87,3128,28248.07,36188.42,28.11
Virtual event,Financial|In Kind,185498.51|63815.95,6781,155059.32,244937.61,57.96
Community and Charity events,Influencer|Merchandise,37157.53|2969.19,3162,28005.92,40657.39,45.17
Community and Charity events,Influencer|Merchandise|Philanthropy,81708.51|33648.23|16825.35,2401,85488.86,120045.39,40.42
Conferences and seminars,In Kind|In Kind|Food Stalls|Influencer,12576.03|33637.43|15012.69|90378.21,1077,116755.92,180798.61,54.85
Sports events,Philanthropy|Financial,93783.98|85135.93,20279,147789.9,273115.88,84.8
Entertainment and media events,Financial|In Kind|In Kind,73808.91|12590.03|94272.31,2364,135451.03,202277.03,49.34
Community and Charity events,In Kind|Financial|Merchandise,85588.92|55268.57|26399.99,1915,136570.3,175709.38,28.66
Conferences and seminars,Media Sponsorship,79461.85,4992,54878.49,93243.4,69.91
Festivals and fairs,Financial|Media Sponsorship|Merchandise|Merchandise|Financial,127451.22|84080.1|32314.55|10292.58|160563.36,77794,264683.5,513518.05,94.01
Community and Charity events,Merchandise|Merchandise|Food Stalls,35991.62|18204.83|9934.03,4086,48208.38,86584.96,79.61
Festivals and fairs,Influencer|Media Sponsorship,15653.07|58867.72,32752,59470.65,78577.12,32.13
Entertainment and media events,Merchandise|Media Sponsorship|Philanthropy|Food Stalls|Financial,40780.95|12636.93|50828.69|20174.29|184524.21,12745,256602.38,491177.2,91.42
Community and Charity events,In Kind,50352.74,3800,44634.75,85450.42,91.44
Virtual event,Influencer|Media Sponsorship|In Kind|Financial|In Kind,92756.47|75356.8|89067.82|125331.14|54360.5,6734,380914.72,516300.69,35.54
Virtual event,In Kind|Philanthropy,31467.51|26747.27,5529,50252.38,60229.55,19.85
Festivals and fairs,Influencer|Financial|Merchandise|Philanthropy|Financial,48795.74|85459.7|31993.49|30498.72|33857.59,12873,157939.29,277300.03,75.57
Community and Charity events,Food Stalls|Influencer|Media Sponsorship,13939.33|92008.83|49588.28,1417,110404.15,138355.58,25.32
Sports events,Food Stalls|In Kind|In Kind|Philanthropy|In Kind,43968.95|70896.14|76044.21|40027.71|6897.39,63034,179067.58,248923.69,39.01
Festivals and fairs,Philanthropy|Financial|Financial|Influencer,81926.74|127323.07|16440.81|70650.82,41586,189428.25,352896.85,86.3
Entertainment and media events,In Kind,72166.26,23366,62371.09,89276.76,43.14
Community and Charity events,Merchandise|Influencer|Influencer,23759.13|44428.85|59280.48,583,77743.09,110519.56,42.16
Community and Charity events,Influencer|Financial|Philanthropy,96963.4|88387.89|57487.26,2885,186021.98,212571.95,14.27
Sports events,Influencer,1083.64,38902,934.18,1349.08,44.41
Sports events,Influencer|Merchandise|Merchandise,6816.34|37609.1|27459.4,75675,54066.18,92211.4,70.55
Conferences and seminars,Influencer|Philanthropy|Merchandise|Merchandise|Financial,24229.39|46792.63|28454.4|17906.55|121872.01,619,181727.0,317891.98,74.93
Festivals and fairs,Financial|Media Sponsorship,186747.34|86521.1,59824,207668.94,340286.11,63.86
Entertainment and media events,In Kind|In Kind|Influencer,26193.76|79426.37|54243.21,35498,106712.66,141336.14,32.45
Conferences and seminars,Food Stalls|Financial,47390.21|165997.1,545,140526.44,246926.84,75.72
Conferences and seminars,Influencer|Influencer|Financial|In Kind,57034.18|24921.17|71995.12|56726.2,1384,152547.62,300336.08,96.88
Sports events,Financial,23622.04,25440,19639.14,29779.76,51.63
Festivals and fairs,Philanthropy|Influencer|Food Stalls,16937.09|4364.97|35604.33,38742,34705.09,60273.05,73.67
Community and Charity events,Influencer|Financial|Philanthropy|Influencer|Philanthropy,34785.63|90048.72|60085.17|3262.26|73255.5,3921,233747.84,412080.79,76.29
Community and Charity events,Philanthropy|Food Stalls|Philanthropy|Philanthropy,39728.65|44786.56|71000.25|79332.06,3435,155747.21,219041.3,40.64
Sports events,Influencer,38434.39,23879,27925.48,42181.13,51.05
Sports events,In Kind|Influencer|Media Sponsorship|Philanthropy|Financial,64297.72|21205.36|46693.59|76231.53|156027.53,29619,257829.17,301821.81,17.06
Festivals and fairs,Food Stalls|Food Stalls,22111.69|11575.77,36536,23344.17,37650.82,61.29
Conferences and seminars,Media Sponsorship|Philanthropy,90212.93|25259.2,1602,77868.5,149056.36,91.42
Community and Charity events,Influencer,60477.52,1961,53366.12,58723.8,10.04
Entertainment and media events,Financial,193315.79,17261,172873.14,223626.22,29.36
Conferences and seminars,Food Stalls|Philanthropy|Financial,8369.27|44057.93|196770.23,1613,218995.05,314431.17,43.58
Conferences and seminars,Media Sponsorship|Philanthropy,89775.98|46085.46,4951,81987.9,108295.7,32.09
Community and Charity events,Merchandise|Media Sponsorship|Merchandise|Merchandise,38111.61|5856.2|25944.47|24234.29,2641,65941.62,80824.68,22.57
Entertainment and media events,Financial,136387.61,3911,122117.9,170268.73,39.43
Community and Charity events,Merchandise|Food Stalls,36747.24|6299.37,4774,35752.2,61105.08,70.91
Community and Charity events,Influencer|Financial,1990.09|22432.65,1026,21643.2,28807.89,33.1
Entertainment and media events,Influencer|Media Sponsorship|Merchandise,72524.82|49959.69|28395.71,18032,110226.0,185385.42,68.19
Entertainment and media events,Financial|Philanthropy|Influencer,50803.2|94622.97|20399.55,47793,103191.26,199202.31,93.04
Entertainment and media events,Food Stalls|Media Sponsorship|Media Sponsorship,4496.59|55548.22|42230.45,28503,69351.7,127554.22,83.92
Festivals and fairs,Philanthropy|Influencer|Financial|In Kind,29261.38|19972.98|4078.17|85625.59,14420,97168.57,149181.26,53.53
Virtual event,Merchandise|Influencer|In Kind|Merchandise,14283.75|27696.79|77718.98|23269.55,9165,121263.18,155863.03,28.53
Sports events,Influencer|Influencer|Food Stalls|In Kind|Media Sponsorship,50721.94|27208.35|18850.84|45215.41|71912.62,5128,192361.24,254206.64,32.15
Entertainment and media events,Merchandise|Food Stalls|Philanthropy|Media Sponsorship,29468.16|31903.35|56108.86|69448.12,48062,164728.8,192256.23,16.71
Festivals and fairs,In Kind|Financial|Merchandise|Food Stalls,67016.08|173638.3|19082.06|4705.44,88827,163760.82,243671.49,48.8
Community and Charity events,Media Sponsorship,60487.79,249,47153.32,92204.41,95.54
Festivals and fairs,Influencer,14918.62,15904,10764.53,17231.66,60.08
Virtual event,Merchandise|Philanthropy|Philanthropy|In Kind|Philanthropy,7685.21|27550.36|25431.99|96896.49|19122.73,6428,148538.37,210085.06,41.43
Entertainment and media events,Merchandise|Financial|In Kind,8664.1|30298.69|81962.51,24393,78210.24,131931.78,68.69
Community and Charity events,Media Sponsorship|Philanthropy|Financial|In Kind|Food Stalls,74246.51|72631.85|74942.46|42441.77|24950.21,1813,228440.42,370787.25,62.31
Community and Charity events,Food Stalls,13173.57,770,9552.27,19024.78,99.16
Virtual event,Financial,81700.83,3330,56976.13,100455.01,76.31
Festivals and fairs,Influencer|Philanthropy|In Kind|Financial|Influencer,81382.71|66077.86|90170.65|46935.38|79070.84,84789,234813.32,311368.92,32.6
Entertainment and media events,In Kind|Media Sponsorship|Media Sponsorship,57660.62|53600.1|63856.82,11026,143096.16,281898.83,97.0
Festivals and fairs,Philanthropy|Food Stalls,89854.4|18257.95,39891,69581.52,109252.68,57.01
Community and Charity events,Financial,128328.17,1363,88260.11,164680.72,86.59
Festivals and fairs,Merchandise,11985.45,20933,9537.81,13270.62,39.14
Conferences and seminars,Media Sponsorship|Merchandise,34533.64|40815.64,3081,49743.97,71001.47,42.73
Festivals and fairs,In Kind|Media Sponsorship|Merchandise|Philanthropy,81062.96|25654.03|6854.23|28647.94,44601,95604.89,126388.92,32.2
Virtual event,Influencer,69180.45,2533,59698.43,82469.53,38.14
Virtual event,Merchandise|Philanthropy,25874.92|27153.29,6882,38005.97,69714.51,83.43
Virtual event,In Kind|Influencer,11779.37|49312.66,5917,54767.91,62064.65,13.32
Community and Charity events,Food Stalls|Influencer|Food Stalls|Food Stalls|Financial,36689.72|59104.15|37636.96|4447.58|157419.19,1330,201309.82,401902.1,99.64
Community and Charity events,Merchandise,11792.5,3309,9358.07,14284.92,52.65
Festivals and fairs,Philanthropy,72557.72,85429,46744.48,71809.33,53.62
Conferences and seminars,Media Sponsorship|Merchandise|Philanthropy|Media Sponsorship,43827.9|42267.29|44756.33|98897.24,643,181677.34,283511.43,56.05
Conferences and seminars,Influencer,90763.1,4289,63272.07,116730.81,84.49
Festivals and fairs,Merchandise,23943.57,31651,15906.95,21344.89,34.19
Conferences and seminars,Philanthropy,46494.83,1106,33656.4,55905.45,66.11
Festivals and fairs,Merchandise|Financial|Philanthropy,29454.24|99476.77|35465.38,18663,136105.28,194051.66,42.57
Virtual event,Philanthropy|Financial|Media Sponsorship|In Kind|In Kind,70459.39|107683.32|1071.95|63358.25|92156.59,5818,251192.31,297625.95,18.49
Entertainment and media events,Merchandise,28673.27,27781,23778.53,28772.32,21.0
Virtual event,Merchandise,31470.42,8750,27847.2,46345.11,66.43
Virtual event,Media Sponsorship|Financial|Philanthropy,49453.95|40293.91|2972.13,5707,56152.06,90322.94,60.85
Community and Charity events,Financial,133837.96,1089,94897.62,159691.48,68.28
Entertainment and media events,Influencer|Food Stalls,88050.17|29103.26,38181,71459.17,135748.81,89.97
Sports events,In Kind,90166.34,18310,55672.05,63851.82,14.69
Conferences and seminars,Merchandise|Food Stalls,29637.87|10986.01,4750,26359.97,30684.52,16.41
Entertainment and media events,Philanthropy,85397.34,42528,56341.54,94566.13,67.84
Festivals and fairs,In Kind|Philanthropy|In Kind,29210.78|76373.73|15308.92,48720,103419.2,180902.65,74.92
Entertainment and media events,Food Stalls|Influencer|In Kind|Financial,42343.71|89826.21|4513.78|162714.38,10565,230317.61,384596.56,66.99
Conferences and seminars,Philanthropy|Food Stalls|Financial|Philanthropy,29027.73|26007.19|105547.32|61582.75,1636,137397.05,236535.54,72.15
Community and Charity events,Food Stalls,22504.68,4514,14221.71,23090.6,62.36
Sports events,Media Sponsorship|Financial|Food Stalls|Philanthropy|Philanthropy,74293.56|28911.61|6257.74|76071.3|45792.38,9194,196788.35,282817.57,43.72
Conferences and seminars,Financial|Financial|Financial|Food Stalls,79348.2|3810.54|6022.4|11133.75,1238,84964.77,117753.83,38.59
Virtual event,Philanthropy|Merchandise|In Kind|Philanthropy|Merchandise,39029.19|4290.33|31986.82|85551.44|38328.55,9867,127495.62,245184.47,92.31
Virtual event,Media Sponsorship,95376.99,4670,61525.9,102540.55,66.66
Sports events,Financial,169180.8,56338,122448.63,144095.61,17.68
Festivals and fairs,Influencer|In Kind|Merchandise|Food Stalls|In Kind,72743.35|50202.59|49576.29|34045.1|1355.44,80869,185818.13,296517.1,59.57
Festivals and fairs,Financial|Financial,111857.31|146682.28,85314,195462.7,381844.45,95.35
Sports events,Influencer|Merchandise|Merchandise,38972.37|42519.97|33161.78,94094,80381.44,145155.99,80.58
Community and Charity events,In Kind|Philanthropy|In Kind|Food Stalls,93054.96|64310.94|29190.35|1944.4,3684,123043.26,208836.76,69.73
Conferences and seminars,In Kind|Food Stalls|In Kind|Philanthropy,20064.2|27740.04|77459.03|94412.46,2891,188274.28,357470.54,89.87
Conferences and seminars,Influencer|Food Stalls|Media Sponsorship,42481.52|34361.51|15007.88,4186,58141.41,82869.04,42.53
Sports events,Media Sponsorship,39224.45,38633,28502.31,52101.0,82.8
Conferences and seminars,Merchandise|Media Sponsorship|Merchandise|Financial|Food Stalls,34886.93|35433.16|15372.78|185621.48|49994.2,4160,208170.04,381289.02,83.16
Sports events,Merchandise,44397.47,61222,34677.33,49972.09,44.11
Community and Charity events,Influencer|Merchandise,43041.54|23133.03,3473,53473.74,70718.13,32.25
Community and Charity events,Merchandise|Financial|Influencer|Merchandise,23095.05|59708.17|25351.86|5944.61,3586,102528.42,157315.79,53.44
Community and Charity events,Media Sponsorship,44443.11,2824,38542.61,75415.57,95.67
Entertainment and media events,Financial|Merchandise|Food Stalls,121920.62|4927.89|30206.56,11271,127583.91,156338.99,22.54
Entertainment and media events,Media Sponsorship|Media Sponsorship|Food Stalls|In Kind,65981.48|68633.74|9921.6|2169.73,40003,117546.36,157709.7,34.17
Sports events,Financial|Merchandise|Merchandise,80197.7|41775.41|48025.7,30690,146528.1,244863.6,67.11
Sports events,In Kind|Philanthropy|Media Sponsorship,24428.61|35731.87|22105.58,53482,50819.57,83461.96,64.23
Festivals and fairs,Media Sponsorship|Philanthropy,46927.6|12859.94,30645,44531.44,87508.97,96.51
Virtual event,Media Sponsorship,48898.32,3810,31939.03,49608.19,55.32
Festivals and fairs,Media Sponsorship,75493.67,20237,64652.88,125081.71,93.47
Sports events,Financial,153507.46,43851,128979.06,244623.61,89.66
Virtual event,Philanthropy,40506.32,9436,32965.38,48686.42,47.69
Community and Charity events,Media Sponsorship|Merchandise,1965.62|33267.9,3728,27283.6,46224.89,69.42
Entertainment and media events,Philanthropy|Food Stalls|Financial|In Kind|Media Sponsorship,62361.89|45780.3|161884.55|54575.18|14863.34,34309,281646.97,559659.39,98.71
Conferences and seminars,Food Stalls|In Kind|Philanthropy,1498.5|76654.1|17397.56,4562,69975.32,126284.47,80.47
Sports events,Financial|Food Stalls|Media Sponsorship|Food Stalls|Financial,109959.55|13667.97|97221.17|33689.46|48150.08,40363,231594.56,332086.95,43.39
Conferences and seminars,Influencer|In Kind|Merchandise,51963.52|74071.21|24465.53,1714,121112.5,182215.72,50.45
Sports events,In Kind|Merchandise|In Kind,27212.81|19213.22|18236.66,33326,42659.95,61373.36,43.87
Festivals and fairs,Merchandise|Food Stalls|Financial|In Kind|Financial,20414.27|9907.85|178544.43|73795.18|49441.25,10752,293535.1,440646.51,50.12
Conferences and seminars,Financial,50756.46,2176,36510.99,72234.83,97.84
Sports events,Influencer,60499.45,32660,52132.0,58174.29,11.59
Conferences and seminars,Food Stalls|Philanthropy|Merchandise|Influencer,29249.76|85888.56|41871.22|88356.85,4787,190810.06,355362.05,86.24
Community and Charity events,Food Stalls|Merchandise,11606.34|31478.1,2292,36305.29,40519.07,11.61
Festivals and fairs,Financial,156381.07,56964,108989.6,121302.07,11.3
Festivals and fairs,Financial|Media Sponsorship,87134.47|72970.14,59785,135708.9,165439.47,21.91
Festivals and fairs,Media Sponsorship,35704.79,6848,24630.53,45392.71,84.29
Entertainment and media events,Influencer|Merchandise,15207.07|10090.21,15532,15662.0,25763.88,64.5
Virtual event,Financial|Media Sponsorship,121411.35|65640.84,5077,136258.29,226770.58,66.43
Entertainment and media events,Food Stalls|Financial|Food Stalls,15107.34|186381.64|36243.4,4516,211951.12,280272.21,32.23
Festivals and fairs,Media Sponsorship|In Kind|Philanthropy,88290.6|79169.28|84342.78,13352,215403.21,241588.14,12.16
Conferences and seminars,Influencer|Food Stalls|Philanthropy|Food Stalls,4212.35|12104.18|78410.52|40940.79,4531,84875.17,105679.07,24.51
Conferences and seminars,Influencer|Merchandise|Merchandise|Influencer,14392.52|29826.39|45627.35|21980.2,299,85744.96,163225.91,90.36
Community and Charity events,Financial|Influencer|In Kind|Merchandise|Philanthropy,186829.5|34795.72|46171.25|7028.21|38145.18,1707,223775.34,286635.73,28.09
Sports events,Merchandise|Philanthropy,8309.92|98873.28,22544,64755.27,104757.6,61.77
Virtual event,Influencer|Financial|Media Sponsorship|In Kind|Influencer,9484.7|125088.08|4051.98|26187.91|14016.88,6729,135805.31,186742.81,37.51
Conferences and seminars,Food Stalls|In Kind|Media Sponsorship|In Kind|Food Stalls,43574.52|75035.87|57343.89|60272.91|46193.08,2699,200992.76,234619.89,16.73
Community and Charity events,Influencer|Merchandise,65957.77|34575.71,3188,60723.27,107536.39,77.09
Sports events,In Kind|Food Stalls|Food Stalls|Influencer|Merchandise,61885.41|32954.74|7703.59|10434.48|40468.65,13475,112287.92,139054.48,23.84
Virtual event,In Kind|Merchandise,93916.78|32695.51,6229,103661.19,132213.17,27.54
Community and Charity events,Philanthropy|In Kind|Financial,77120.19|10050.05|137429.48,4725,162318.58,249983.64,54.01
Virtual event,Influencer|In Kind|Merchandise|Media Sponsorship|Influencer,85467.11|2513.49|9184.7|42200.35|36720.97,3537,151484.67,207816.47,37.19
Community and Charity events,Philanthropy|Philanthropy|Philanthropy,11864.33|6045.88|24479.83,1540,30819.0,55043.0,78.6
Sports events,Philanthropy|Philanthropy|Financial,48120.95|18898.31|189723.75,31617,196333.92,222929.2,13.55
Virtual event,Influencer|Media Sponsorship|Merchandise,61701.14|71692.39|48763.1,9955,160697.94,263533.24,63.99
Virtual event,In Kind|Influencer|Influencer,44748.03|96035.24|11057.83,6926,121604.3,164668.47,35.41
Conferences and seminars,Food Stalls|Food Stalls,37397.14|19646.13,4368,41857.55,51100.5,22.08
Festivals and fairs,Philanthropy|Influencer|Financial|Media Sponsorship|Philanthropy,18954.78|2687.89|188203.5|66120.75|89515.65,47086,221477.45,379260.58,71.24
Sports events,Influencer|Food Stalls|Financial|Philanthropy,37774.57|32793.77|107747.47|11937.9,84440,129353.23,180364.39,39.44
Sports events,In Kind|Philanthropy|Influencer|Financial|Financial,75701.04|92992.54|63659.05|164571.52|63526.95,48554,346734.69,604524.07,74.35
Virtual event,Media Sponsorship|Merchandise|Merchandise,24804.31|43367.66|6594.74,1338,60450.24,80698.46,33.5
Virtual event,Media Sponsorship,3861.05,2647,2628.2,4668.23,77.62
Conferences and seminars,Financial|In Kind|Food Stalls,89984.34|94383.39|20471.38,1271,133748.84,200477.21,49.89
Festivals and fairs,Media Sponsorship|Food Stalls|In Kind|Merchandise|Media Sponsorship,89884.76|32095.63|80713.49|42764.0|39430.45,15540,206594.29,263596.53,27.59
Virtual event,Influencer|Financial|Influencer|Influencer,31809.88|69114.29|66353.95|82562.54,9773,172152.55,246094.1,42.95
Entertainment and media events,Financial,28747.82,41488,24604.96,29984.95,21.87
Conferences and seminars,Food Stalls|Merchandise,49321.78|6747.08,2899,48795.73,79903.7,63.75
Conferences and seminars,Merchandise|Media Sponsorship|Philanthropy,1627.37|54478.11|7677.22,3286,39378.73,73736.14,87.25
Festivals and fairs,Merchandise|Financial|Philanthropy,29716.7|194409.93|51733.39,95008,230063.17,399737.96,73.75
Sports events,In Kind|Food Stalls|Influencer,97271.59|45628.8|35471.86,93045,111736.07,150026.03,34.27
Sports events,In Kind,13397.2,13302,9739.76,12612.89,29.5
Conferences and seminars,Merchandise,48357.78,229,30083.55,55825.55,85.57
Sports events,Merchandise|Philanthropy|Food Stalls|Merchandise,14497.81|37787.39|23782.12|22061.48,43134,85147.91,103609.6,21.68
Entertainment and media events,Influencer|Influencer|Media Sponsorship|Influencer|Media Sponsorship,97161.48|59422.87|46426.8|58361.55|9374.76,41314,183364.13,305167.91,66.43
Sports events,Philanthropy|Food Stalls|Financial|Food Stalls|Merchandise,98853.31|47024.82|114510.41|48602.19|12477.7,75921,202700.03,252086.81,24.36
Community and Charity events,Food Stalls|Financial|Media Sponsorship|In Kind,42619.68|45549.01|13403.06|69417.31,1235,148256.5,221867.38,49.65
Festivals and fairs,Food Stalls|Philanthropy,22189.29|62186.06,20147,56570.74,67407.39,19.16
Community and Charity events,Philanthropy|Influencer,89108.62|11079.77,1534,88834.55,157474.23,77.27
Entertainment and media events,Influencer|Media Sponsorship|Media Sponsorship|Philanthropy,46932.42|86084.01|5661.53|90596.94,36115,190093.18,314502.74,65.45
Community and Charity events,Food Stalls,27187.36,346,23257.15,29837.62,28.29
Community and Charity events,Philanthropy|In Kind,6635.92|39263.35,276,32604.43,54616.72,67.51
Sports events,Philanthropy,76285.55,3153,67537.04,74970.47,11.01
Festivals and fairs,Philanthropy,36196.33,97753,23027.16,40114.38,74.2
Sports events,In Kind|Influencer|Food Stalls|Financial|Food Stalls,49223.32|46804.8|13392.7|15053.77|29627.58,3028,102439.97,148599.7,45.06
Virtual event,Philanthropy,3460.84,799,2430.06,3106.36,27.83
Sports events,Financial|In Kind|Merchandise,185621.23|22478.0|45126.2,50688,162663.35,303995.84,86.89
Conferences and seminars,Financial|In Kind,60542.53|65196.78,1442,94936.78,172352.33,81.54
Virtual event,Media Sponsorship|Media Sponsorship|Philanthropy|In Kind|Influencer,99367.38|23117.15|27960.39|36672.99|60057.97,6963,197874.51,245337.62,23.99
Sports events,Merchandise,40828.03,96392,25546.71,36180.35,41.62
Conferences and seminars,In Kind|Philanthropy|Food Stalls,23600.48|65684.08|20307.82,2503,72304.45,133418.31,84.52
Virtual event,In Kind,77864.95,9512,49434.31,70905.46,43.43
Virtual event,In Kind|In Kind|Influencer|Financial|Merchandise,20946.25|36355.93|90376.88|82826.52|39009.14,5390,198613.36,235032.64,18.34
Entertainment and media events,Media Sponsorship|Food Stalls|Philanthropy|Merchandise,8004.28|25236.09|48379.45|26209.82,3339,75026.71,105315.48,40.37
Community and Charity events,Merchandise|In Kind|Media Sponsorship|Food Stalls|Philanthropy,44619.86|31459.97|9958.05|12020.4|35506.18,934,114124.8,192054.57,68.28
Virtual event,In Kind,80146.18,4011,69581.96,104266.34,49.85
Conferences and seminars,Financial|Influencer|Influencer|Financial,54789.2|46900.79|53613.46|128722.65,3079,178941.98,259486.7,45.01
Community and Charity events,Merchandise|Influencer|Philanthropy,5875.77|90231.15|59982.51,4813,115204.23,145782.44,26.54
Entertainment and media events,Financial|Food Stalls|Influencer|Influencer|Influencer,112635.33|34327.66|22622.01|62979.1|52889.98,16525,197121.13,235065.88,19.25
Virtual event,In Kind|Merchandise|Philanthropy|In Kind,7288.25|36760.57|2255.19|11101.04,9325,39496.97,46665.5,18.15
Sports events,Merchandise,40296.5,74273,36243.88,44625.9,23.13
Community and Charity events,Financial|Philanthropy,44561.34|30452.24,4925,48742.71,57581.58,18.13
Entertainment and media events,Financial|Food Stalls|Influencer,141872.63|7162.74|39369.93,22185,135781.07,152052.02,11.98
Virtual event,Financial|Financial|In Kind,183233.3|152073.95|1125.86,9331,249246.27,416512.05,67.11
Festivals and fairs,In Kind|Influencer|Media Sponsorship,8485.85|53161.08|15278.07,74016,66336.14,91130.99,37.38
Virtual event,In Kind,49757.53,7367,34218.59,48746.5,42.46
Conferences and seminars,Philanthropy|Influencer|In Kind,35787.21|29567.47|18795.78,2327,54475.99,73284.23,34.53
Community and Charity events,Food Stalls|Philanthropy|Philanthropy,16247.07|96012.41|25815.04,2026,84055.17,135113.1,60.74
Sports events,Media Sponsorship|Financial|In Kind,65016.05|42660.83|77552.88,54238,111774.1,152760.61,36.67
Community and Charity events,Philanthropy,87189.63,682,65388.18,122865.17,87.9
Entertainment and media events,Influencer|Financial|Influencer,17909.58|25366.29|16906.33,23479,39644.92,69232.64,74.63
Virtual event,In Kind|Merchandise,42960.52|8151.22,1586,45996.19,57612.5,25.25
Virtual event,Media Sponsorship|Merchandise,44654.43|36758.7,9027,65583.16,111428.62,69.9
Sports events,Merchandise|Media Sponsorship|Food Stalls|Food Stalls|Food Stalls,43514.72|56342.38|46434.81|36674.11|11288.14,14044,136346.94,246502.8,80.79
Entertainment and media events,Influencer|Media Sponsorship|In Kind|Media Sponsorship,49613.37|51370.67|36064.59|56104.27,25477,126979.45,189559.63,49.28
Festivals and fairs,Influencer,63020.45,22291,41538.4,72863.64,75.41
Virtual event,Philanthropy|Influencer,73868.73|12367.02,3590,54454.84,72930.13,33.93
Conferences and seminars,Food Stalls|Media Sponsorship|Media Sponsorship|Philanthropy,10774.75|94649.93|1123.73|57263.27,4279,110448.49,124266.09,12.51
Sports events,Influencer|Merchandise|Media Sponsorship,18134.14|46880.36|10707.11,45060,56572.94,71291.91,26.02
Sports events,In Kind,4472.73,10460,3434.15,5934.11,72.8
Sports events,Food Stalls|Philanthropy|Merchandise|Influencer,43310.93|35308.98|11556.85|25996.28,17254,81144.69,106045.23,30.69
Conferences and seminars,Financial|In Kind|In Kind,171451.64|53655.42|56648.32,2971,184270.62,363439.75,97.23
Festivals and fairs,Media Sponsorship,63720.42,90253,46825.85,54120.51,15.58
Community and Charity events,Media Sponsorship,3775.47,2965,3368.3,5831.02,73.11
Community and Charity events,Media Sponsorship|In Kind|Philanthropy,68660.21|3386.42|83327.05,2316,99114.02,180522.87,82.14
Virtual event,In Kind,77995.1,3173,50892.35,90204.89,77.25
Festivals and fairs,Philanthropy|In Kind|Philanthropy|Food Stalls|Philanthropy,58176.24|19321.17|58828.94|38065.6|34065.61,15387,140825.15,184158.25,30.77
Conferences and seminars,Media Sponsorship|Influencer|Merchandise|Financial|Financial,1649.08|85233.59|44025.5|14162.4|44477.31,4951,115009.08,144310.55,25.48
Community and Charity events,Financial|Merchandise|Media Sponsorship|In Kind,131951.13|10386.92|66396.62|34424.64,275,178358.96,339987.93,90.62
Festivals and fairs,Philanthropy|Merchandise|Influencer|Food Stalls,53392.99|40849.83|30672.32|20589.01,11314,106429.29,186772.12,75.49
Festivals and fairs,Media Sponsorship|Food Stalls|Food Stalls|Food Stalls,55494.09|7949.73|15985.42|33526.95,97802,76493.87,123271.97,61.15
Festivals and fairs,Financial|Financial|Philanthropy|Food Stalls,79367.85|138632.69|21799.83|6429.88,48036,204947.02,361670.67,76.47
Festivals and fairs,Media Sponsorship|Philanthropy|Philanthropy|In Kind,90857.44|77699.5|61588.24|7629.59,39916,208105.2,315176.0,51.45
Conferences and seminars,Media Sponsorship|Merchandise|Philanthropy|Philanthropy,41403.93|4231.98|97795.06|10741.75,2851,130595.06,198011.65,51.62
