Event Type,Expected Footfall,Number of Sponsors,Ticket Price,Sponsor Type,Sponsor Cost,Sponsor Revenue,Sponsor ROI
Festivals and fairs,70509,5,0,Merchandise,8530.91,17061.82,100
Virtual event,2847,4,0,Media Sponsorship,41108.3,82216.6,100
Virtual event,2847,4,0,Philanthropy,38911.8,56216.69,44.47
Virtual event,2847,4,0,Merchandise,5417.59,8307.26,53.34
Virtual event,2847,4,0,Media Sponsorship,39639.63,79279.26,100
Entertainment and media events,5543,2,92854.38,In Kind,83868.79,133525.73,59.21
Entertainment and media events,5543,2,92854.38,Media Sponsorship,12371.85,24743.7,100
Sports events,64138,5,884.7,Influencer,51723.61,103447.22,100
Sports events,64138,5,884.7,Financial,6489.61,12979.22,100
Sports events,64138,5,884.7,In Kind,42163.57,81614.2,93.57
Sports events,64138,5,884.7,Influencer,25744.53,51489.06,100
Sports events,64138,5,884.7,Media Sponsorship,57190.69,114381.38,100
Conferences and seminars,4737,1,684.09,Food Stalls,28493.1,56986.2,100
Conferences and seminars,454,2,753.78,Philanthropy,14831.95,14831.95,0
Conferences and seminars,454,2,753.78,Media Sponsorship,4134.47,4134.47,0
Virtual event,8602,2,0,Financial,14100.7,28201.4,100
Virtual event,8602,2,0,Media Sponsorship,39379.48,70509.34,79.05
Conferences and seminars,412,5,830.55,In Kind,16211.75,16211.75,0
Conferences and seminars,412,5,830.55,Merchandise,9586.44,9586.44,0
Conferences and seminars,412,5,830.55,Philanthropy,61617.52,61617.52,0
Conferences and seminars,412,5,830.55,Financial,170939.96,170939.96,0
Conferences and seminars,412,5,830.55,Food Stalls,17431.03,17431.03,0
Festivals and fairs,54782,1,0,Media Sponsorship,15726.72,31453.44,100
Conferences and seminars,3999,5,23.61,Food Stalls,22173.44,44346.88,100
Conferences and seminars,3999,5,23.61,Food Stalls,41070.42,67179.07,63.57
Conferences and seminars,3999,5,23.61,Media Sponsorship,92766.16,185532.32,100
Conferences and seminars,3999,5,23.61,Financial,55439.42,110878.84,100
Conferences and seminars,3999,5,23.61,In Kind,52966.8,76378.46,44.2
Festivals and fairs,84243,3,0,Philanthropy,44635.57,81934.18,83.56
Festivals and fairs,84243,3,0,Merchandise,30641.62,61283.24,100
Festivals and fairs,84243,3,0,Food Stalls,20637.57,41275.14,100
Virtual event,9874,3,0,Philanthropy,2868.07,5591.35,94.95
Virtual event,9874,3,0,In Kind,22464.86,44929.72,100
Virtual event,9874,3,0,In Kind,54397.31,106187.07,95.21
Community and Charity events,3008,1,530.39,Philanthropy,73184.33,133039.88,81.79
Community and Charity events,1119,3,616.17,Merchandise,21522.55,21551.31,0.13
Community and Charity events,1119,3,616.17,Media Sponsorship,47931.39,66724.51,39.21
Community and Charity events,1119,3,616.17,Media Sponsorship,48418.96,52573.42,8.58
Festivals and fairs,93065,2,0,Media Sponsorship,16281.58,32563.16,100
Festivals and fairs,93065,2,0,Financial,199450.24,398900.48,100
Community and Charity events,1489,3,605.74,Food Stalls,15167.17,22021.01,45.19
Community and Charity events,1489,3,605.74,In Kind,65559.13,71678.23,9.33
Community and Charity events,1489,3,605.74,Financial,142231.47,240694.56,69.23
Virtual event,5184,1,0,Financial,23222.71,46445.42,100
Community and Charity events,2220,2,134.11,Merchandise,4632.11,7683.28,65.87
Community and Charity events,2220,2,134.11,Media Sponsorship,53795.56,107591.12,100
Sports events,39899,4,122.23,Philanthropy,59993.73,108536.3,80.91
Sports events,39899,4,122.23,In Kind,78156.28,126927.56,62.4
Sports events,39899,4,122.23,In Kind,78125.98,127647.08,63.39
Sports events,39899,4,122.23,Financial,142491.63,284983.26,100
Sports events,11503,2,166.89,Media Sponsorship,26936.36,53872.72,100
Sports events,11503,2,166.89,In Kind,84621.07,169242.14,100
Entertainment and media events,39758,3,36463.39,Food Stalls,20352.9,40705.8,100
Entertainment and media events,39758,3,36463.39,Philanthropy,30041.28,60082.56,100
Entertainment and media events,39758,3,36463.39,Influencer,88117.81,176235.62,100
Festivals and fairs,41869,4,0,In Kind,53784.08,107568.16,100
Festivals and fairs,41869,4,0,In Kind,33676.4,67352.8,100
Festivals and fairs,41869,4,0,In Kind,47066.74,94133.48,100
Festivals and fairs,41869,4,0,Influencer,5415.72,10831.44,100
Conferences and seminars,4292,2,572.45,Financial,90948.53,181897.06,100
Conferences and seminars,4292,2,572.45,Merchandise,49690.82,99381.64,100
Community and Charity events,1624,3,222.19,Philanthropy,3865.67,3865.67,0
Community and Charity events,1624,3,222.19,In Kind,27995.44,38235.57,36.58
Community and Charity events,1624,3,222.19,Media Sponsorship,87507.25,138940.03,58.78
Entertainment and media events,49860,5,3087.29,In Kind,38373.71,60649.17,58.05
Entertainment and media events,49860,5,3087.29,Food Stalls,643.07,1286.14,100
Entertainment and media events,49860,5,3087.29,Media Sponsorship,62799.34,125598.68,100
Entertainment and media events,49860,5,3087.29,In Kind,41349.27,82698.54,100
Entertainment and media events,49860,5,3087.29,Media Sponsorship,80594.51,161189.02,100
Sports events,80217,4,80.72,Merchandise,39389.79,78779.58,100
Sports events,80217,4,80.72,Philanthropy,36309.68,72619.36,100
Sports events,80217,4,80.72,Financial,166105.25,332210.5,100
Sports events,80217,4,80.72,Media Sponsorship,62830.52,125661.04,100
Conferences and seminars,4645,3,140.75,In Kind,94981.76,189963.52,100
Conferences and seminars,4645,3,140.75,Food Stalls,13204.44,26408.88,100
Conferences and seminars,4645,3,140.75,Philanthropy,46683.06,73544.03,57.54
Sports events,53585,3,513.62,Food Stalls,24700.84,49401.68,100
Sports events,53585,3,513.62,Food Stalls,29944.7,59889.4,100
Sports events,53585,3,513.62,Merchandise,32905.76,65811.52,100
Conferences and seminars,1780,3,91.01,Merchandise,13837.56,18152.44,31.18
Conferences and seminars,1780,3,91.01,In Kind,82583.84,159996.8,93.74
Conferences and seminars,1780,3,91.01,Financial,166072.41,332144.82,100
Community and Charity events,1849,1,285.91,Merchandise,24532.79,30768.98,25.42
Conferences and seminars,2273,5,272.87,Media Sponsorship,96138.06,192276.12,100
Conferences and seminars,2273,5,272.87,Philanthropy,97424.48,133729.02,37.26
Conferences and seminars,2273,5,272.87,Influencer,36521.36,73042.72,100
Conferences and seminars,2273,5,272.87,Food Stalls,35458.54,70917.08,100
Conferences and seminars,2273,5,272.87,Philanthropy,2703.52,5407.04,100
Conferences and seminars,3851,5,770.45,Philanthropy,79270.6,145588.9,83.66
Conferences and seminars,3851,5,770.45,Philanthropy,60964.21,103091.99,69.1
Conferences and seminars,3851,5,770.45,Financial,12956.48,25912.96,100
Conferences and seminars,3851,5,770.45,Influencer,70009.13,140018.26,100
Conferences and seminars,3851,5,770.45,Influencer,30492.28,60984.56,100
Virtual event,6011,5,0,Influencer,88729.21,177458.42,100
Virtual event,6011,5,0,Financial,71319.13,142638.26,100
Virtual event,6011,5,0,In Kind,14450.68,28455.45,96.91
Virtual event,6011,5,0,Media Sponsorship,4501.19,7756.73,72.33
Virtual event,6011,5,0,Influencer,78650.82,157301.64,100
Community and Charity events,4136,2,269.0,Influencer,65423.95,130847.9,100
Community and Charity events,4136,2,269.0,Philanthropy,35095.08,54304.86,54.74
Community and Charity events,3947,5,153.07,Financial,83163.61,166327.22,100
Community and Charity events,3947,5,153.07,Media Sponsorship,52970.93,85941.22,62.24
Community and Charity events,3947,5,153.07,Media Sponsorship,96475.51,192951.02,100
Community and Charity events,3947,5,153.07,Influencer,31940.48,50747.0,58.88
Community and Charity events,3947,5,153.07,Philanthropy,1244.2,2246.33,80.54
Entertainment and media events,5248,2,9242.89,Merchandise,40019.09,80038.18,100
Entertainment and media events,5248,2,9242.89,Philanthropy,19988.48,39301.9,96.62
Conferences and seminars,4647,4,63.76,Merchandise,21985.98,43971.96,100
Conferences and seminars,4647,4,63.76,Philanthropy,85297.13,124848.05,46.37
Conferences and seminars,4647,4,63.76,Financial,147942.02,295884.04,100
Conferences and seminars,4647,4,63.76,In Kind,40161.26,70987.98,76.76
Conferences and seminars,3229,5,352.09,Merchandise,26661.88,53323.76,100
Conferences and seminars,3229,5,352.09,Influencer,73296.7,146593.4,100
Conferences and seminars,3229,5,352.09,Media Sponsorship,34260.34,68520.68,100
Conferences and seminars,3229,5,352.09,Food Stalls,44705.21,89410.42,100
Conferences and seminars,3229,5,352.09,Media Sponsorship,84271.35,168542.7,100
Entertainment and media events,30535,2,29417.09,Financial,26415.84,52831.68,100
Entertainment and media events,30535,2,29417.09,Influencer,23968.98,47937.96,100
Virtual event,9516,3,0,Financial,178122.79,356245.58,100
Virtual event,9516,3,0,Media Sponsorship,59376.81,118753.62,100
Virtual event,9516,3,0,Influencer,16396.54,32793.08,100
Sports events,84333,2,761.31,Food Stalls,28149.45,56298.9,100
Sports events,84333,2,761.31,Philanthropy,21203.09,42406.18,100
Virtual event,7729,2,0,Philanthropy,26220.31,51737.68,97.32
Virtual event,7729,2,0,Merchandise,31184.84,41679.65,33.65
Conferences and seminars,1240,4,519.17,Food Stalls,45879.77,68841.09,50.05
Conferences and seminars,1240,4,519.17,Influencer,55161.3,64510.82,16.95
Conferences and seminars,1240,4,519.17,Influencer,24173.29,31701.57,31.14
Conferences and seminars,1240,4,519.17,Merchandise,534.7,610.35,14.15
Festivals and fairs,7938,4,0,Merchandise,19247.01,38494.02,100
Festivals and fairs,7938,4,0,Media Sponsorship,15374.25,30748.5,100
Festivals and fairs,7938,4,0,In Kind,75826.25,151652.5,100
Festivals and fairs,7938,4,0,Merchandise,40832.07,81664.14,100
Entertainment and media events,1460,1,63181.72,Philanthropy,31324.89,37436.39,19.51
Virtual event,5549,3,0,Philanthropy,54950.09,89745.7,63.32
Virtual event,5549,3,0,Influencer,30367.88,58992.65,94.26
Virtual event,5549,3,0,Media Sponsorship,27528.93,55057.86,100
Community and Charity events,1888,3,770.54,Merchandise,29312.47,43109.99,47.07
Community and Charity events,1888,3,770.54,Merchandise,32750.6,57583.04,75.82
Community and Charity events,1888,3,770.54,Food Stalls,12705.62,22396.7,76.27
Festivals and fairs,88441,5,0,In Kind,53988.39,95038.06,76.03
Festivals and fairs,88441,5,0,Financial,175288.95,350577.9,100
Festivals and fairs,88441,5,0,In Kind,35069.19,70138.38,100
Festivals and fairs,88441,5,0,Financial,130686.11,261372.22,100
Festivals and fairs,88441,5,0,Media Sponsorship,63772.2,127544.4,100
Conferences and seminars,1869,4,878.35,Influencer,87569.4,175138.8,100
Conferences and seminars,1869,4,878.35,Merchandise,7739.9,14262.29,84.27
Conferences and seminars,1869,4,878.35,Financial,63005.38,125381.06,99.0
Conferences and seminars,1869,4,878.35,Merchandise,43373.74,82468.59,90.13
Sports events,36460,5,165.04,Influencer,43723.71,87447.42,100
Sports events,36460,5,165.04,Food Stalls,19742.15,39484.3,100
Sports events,36460,5,165.04,Merchandise,7669.92,15339.84,100
Sports events,36460,5,165.04,Philanthropy,92581.81,182007.73,96.59
Sports events,36460,5,165.04,Financial,80425.23,160850.46,100
Virtual event,3192,4,0,Influencer,66779.5,121905.74,82.55
Virtual event,3192,4,0,Merchandise,13446.24,24224.46,80.16
Virtual event,3192,4,0,In Kind,9450.22,15024.5,58.99
Virtual event,3192,4,0,Philanthropy,89013.59,175292.0,96.93
Virtual event,3638,4,0,Philanthropy,53956.84,78060.78,44.67
Virtual event,3638,4,0,Philanthropy,5229.76,7145.04,36.62
Virtual event,3638,4,0,Financial,191001.46,370519.48,93.99
Virtual event,3638,4,0,Influencer,3325.56,6651.12,100
Conferences and seminars,1272,5,316.28,Merchandise,30793.27,41054.53,33.32
Conferences and seminars,1272,5,316.28,Financial,7852.83,14129.95,79.93
Conferences and seminars,1272,5,316.28,Food Stalls,17615.0,18770.96,6.56
Conferences and seminars,1272,5,316.28,Merchandise,31732.07,41099.02,29.52
Conferences and seminars,1272,5,316.28,Media Sponsorship,60635.39,108184.85,78.42
Virtual event,9380,1,0,Merchandise,40329.0,63038.22,56.31
Festivals and fairs,21207,1,0,Merchandise,15367.75,30735.5,100
Virtual event,5808,3,0,Merchandise,15148.14,22508.45,48.59
Virtual event,5808,3,0,Philanthropy,98768.34,145934.09,47.75
Virtual event,5808,3,0,Media Sponsorship,37937.73,65991.48,73.95
Entertainment and media events,43138,4,52097.93,Financial,32782.52,65565.04,100
Entertainment and media events,43138,4,52097.93,Philanthropy,95396.58,177144.64,85.69
Entertainment and media events,43138,4,52097.93,Media Sponsorship,65055.73,130111.46,100
Entertainment and media events,43138,4,52097.93,Media Sponsorship,20106.41,40212.82,100
Conferences and seminars,2172,2,661.38,Financial,121460.74,242921.48,100
Conferences and seminars,2172,2,661.38,Philanthropy,95429.04,162080.86,69.84
Community and Charity events,4969,4,101.12,Merchandise,9013.98,15475.7,71.69
Community and Charity events,4969,4,101.12,Food Stalls,30706.18,49668.36,61.75
Community and Charity events,4969,4,101.12,Philanthropy,86409.16,133644.24,54.66
Community and Charity events,4969,4,101.12,In Kind,13807.69,22350.72,61.87
Conferences and seminars,3482,1,667.18,Media Sponsorship,70011.99,140023.98,100
Conferences and seminars,589,4,155.56,Media Sponsorship,33227.53,33227.53,0
Conferences and seminars,589,4,155.56,Media Sponsorship,42256.26,42256.26,0
Conferences and seminars,589,4,155.56,Merchandise,15660.75,15660.75,0
Conferences and seminars,589,4,155.56,Media Sponsorship,63161.23,63161.23,0
Conferences and seminars,4233,5,411.92,Food Stalls,22532.99,36050.67,59.99
Conferences and seminars,4233,5,411.92,Philanthropy,32432.05,54144.47,66.95
Conferences and seminars,4233,5,411.92,Food Stalls,8757.74,13453.3,53.62
Conferences and seminars,4233,5,411.92,Philanthropy,78915.07,118638.11,50.34
Conferences and seminars,4233,5,411.92,Financial,93209.11,186418.22,100
Conferences and seminars,3762,3,318.36,Media Sponsorship,52640.8,105281.6,100
Conferences and seminars,3762,3,318.36,Media Sponsorship,26156.91,52313.82,100
Conferences and seminars,3762,3,318.36,Merchandise,31187.36,56332.83,80.63
Sports events,46112,4,497.7,Influencer,2764.27,5528.54,100
Sports events,46112,4,497.7,Food Stalls,18056.36,36112.72,100
Sports events,46112,4,497.7,Merchandise,13115.61,26231.22,100
Sports events,46112,4,497.7,Food Stalls,30021.41,60042.82,100
Entertainment and media events,6511,3,39077.37,Media Sponsorship,34338.66,68677.32,100
Entertainment and media events,6511,3,39077.37,Financial,65051.96,130103.92,100
Entertainment and media events,6511,3,39077.37,Media Sponsorship,82727.6,165455.2,100
Conferences and seminars,1867,3,867.91,Merchandise,6938.22,12285.41,77.07
Conferences and seminars,1867,3,867.91,In Kind,99686.36,178585.98,79.15
Conferences and seminars,1867,3,867.91,Merchandise,45623.11,72055.24,57.94
Sports events,10698,2,986.34,Merchandise,30312.63,60625.26,100
Sports events,10698,2,986.34,Media Sponsorship,61040.65,122081.3,100
Conferences and seminars,570,3,272.82,Financial,104879.8,104879.8,0
Conferences and seminars,570,3,272.82,Financial,78177.33,78177.33,0
Conferences and seminars,570,3,272.82,Financial,125053.41,125053.41,0
Sports events,21936,5,428.04,Food Stalls,13957.58,27915.16,100
Sports events,21936,5,428.04,Media Sponsorship,89959.41,179918.82,100
Sports events,21936,5,428.04,Financial,199941.85,399883.7,100
Sports events,21936,5,428.04,Financial,186427.0,372854.0,100
Sports events,21936,5,428.04,Media Sponsorship,91713.66,183427.32,100
Virtual event,4591,1,0,In Kind,60136.9,106719.84,77.46
Community and Charity events,1881,2,499.69,In Kind,23426.42,26162.62,11.68
Community and Charity events,1881,2,499.69,In Kind,79434.33,112658.46,41.83
Conferences and seminars,4984,4,444.07,Food Stalls,28136.93,51716.64,83.8
Conferences and seminars,4984,4,444.07,Influencer,63025.74,126051.48,100
Conferences and seminars,4984,4,444.07,Philanthropy,60888.74,108407.18,78.04
Conferences and seminars,4984,4,444.07,Merchandise,12093.99,24187.98,100
Community and Charity events,3492,3,764.09,Food Stalls,21806.12,37881.03,73.72
Community and Charity events,3492,3,764.09,Philanthropy,97520.24,137081.45,40.57
Community and Charity events,3492,3,764.09,Financial,67286.38,113294.19,68.38
Conferences and seminars,4829,2,241.11,In Kind,93240.32,178271.51,91.2
Conferences and seminars,4829,2,241.11,Food Stalls,32434.37,64868.74,100
Conferences and seminars,3430,3,919.5,Financial,84713.99,169427.98,100
Conferences and seminars,3430,3,919.5,Influencer,30825.08,61650.16,100
Conferences and seminars,3430,3,919.5,Influencer,76982.77,150439.24,95.42
Virtual event,8945,2,0,In Kind,31110.15,55231.17,77.53
Virtual event,8945,2,0,In Kind,76209.61,102626.13,34.66
Sports events,62632,2,646.63,Food Stalls,26402.39,52804.78,100
Sports events,62632,2,646.63,Philanthropy,87183.22,160637.41,84.25
Festivals and fairs,37813,5,0,Food Stalls,21688.46,41452.45,91.13
Festivals and fairs,37813,5,0,Financial,83283.89,166567.78,100
Festivals and fairs,37813,5,0,Merchandise,25555.35,48357.38,89.23
Festivals and fairs,37813,5,0,Financial,169855.37,339710.74,100
Festivals and fairs,37813,5,0,Food Stalls,36201.44,72402.88,100
Sports events,23196,4,794.23,Merchandise,33263.2,66526.4,100
Sports events,23196,4,794.23,Philanthropy,68793.01,137586.02,100
Sports events,23196,4,794.23,In Kind,87903.98,166856.15,89.82
Sports events,23196,4,794.23,Merchandise,17852.68,35705.36,100
Community and Charity events,3294,1,585.93,Influencer,30295.49,60590.98,100
Virtual event,2023,2,0,Merchandise,42233.78,80316.83,90.17
Virtual event,2023,2,0,In Kind,17306.75,29444.64,70.13
Conferences and seminars,2152,5,598.13,Food Stalls,10161.14,16924.82,66.56
Conferences and seminars,2152,5,598.13,Influencer,94059.75,188119.5,100
Conferences and seminars,2152,5,598.13,Merchandise,775.45,1291.54,66.55
Conferences and seminars,2152,5,598.13,In Kind,35859.59,71502.41,99.4
Conferences and seminars,2152,5,598.13,Media Sponsorship,82907.93,164106.99,97.94
Festivals and fairs,63966,4,0,Philanthropy,28180.74,56361.48,100
Festivals and fairs,63966,4,0,Financial,119236.58,238473.16,100
Festivals and fairs,63966,4,0,Merchandise,34655.67,66232.18,91.11
Festivals and fairs,63966,4,0,In Kind,28718.07,57436.14,100
Community and Charity events,3771,4,387.61,Food Stalls,14102.36,28204.72,100
Community and Charity events,3771,4,387.61,Food Stalls,7128.62,10947.69,53.57
Community and Charity events,3771,4,387.61,Media Sponsorship,35985.3,71970.6,100
Community and Charity events,3771,4,387.61,Food Stalls,21941.76,41763.21,90.34
Festivals and fairs,84656,1,0,Influencer,62034.72,124069.44,100
Virtual event,8092,5,0,Merchandise,13610.02,27220.04,100
Virtual event,8092,5,0,Merchandise,31620.51,44110.2,39.5
Virtual event,8092,5,0,Merchandise,47863.21,95726.42,100
Virtual event,8092,5,0,Merchandise,42046.7,66604.25,58.41
Virtual event,8092,5,0,Merchandise,1031.3,2062.6,100
Community and Charity events,864,1,305.01,In Kind,52707.0,52707.0,0
Virtual event,6402,5,0,In Kind,95940.69,117385.55,22.35
Virtual event,6402,5,0,Media Sponsorship,75972.69,125548.88,65.26
Virtual event,6402,5,0,Philanthropy,94790.94,154220.62,62.7
Virtual event,6402,5,0,Influencer,54097.68,108195.36,100
Virtual event,6402,5,0,Influencer,64946.05,129892.1,100
Festivals and fairs,5046,4,0,In Kind,3952.11,7904.22,100
Festivals and fairs,5046,4,0,Financial,47371.74,94743.48,100
Festivals and fairs,5046,4,0,Philanthropy,84281.02,168562.04,100
Festivals and fairs,5046,4,0,Media Sponsorship,52671.43,105342.86,100
Sports events,21307,2,950.13,Financial,33605.38,67210.76,100
Sports events,21307,2,950.13,Media Sponsorship,85042.98,170085.96,100
Conferences and seminars,4219,5,360.58,In Kind,37775.29,56886.62,50.59
Conferences and seminars,4219,5,360.58,Merchandise,34304.01,68608.02,100
Conferences and seminars,4219,5,360.58,Influencer,35948.31,71896.62,100
Conferences and seminars,4219,5,360.58,Influencer,48615.19,97230.38,100
Conferences and seminars,4219,5,360.58,Food Stalls,22600.26,37360.95,65.31
Virtual event,3941,1,0,In Kind,98030.86,188002.43,91.78
Conferences and seminars,843,4,292.75,In Kind,45454.0,45454.0,0
Conferences and seminars,843,4,292.75,Financial,17621.56,23457.76,33.12
Conferences and seminars,843,4,292.75,Financial,101523.1,124385.29,22.52
Conferences and seminars,843,4,292.75,Media Sponsorship,73749.99,73749.99,0
Community and Charity events,4447,3,545.26,Philanthropy,56331.39,88777.89,57.6
Community and Charity events,4447,3,545.26,Media Sponsorship,51858.33,84419.47,62.79
Community and Charity events,4447,3,545.26,Financial,174287.21,348574.42,100
Conferences and seminars,887,5,178.78,Merchandise,46991.21,46991.21,0
Conferences and seminars,887,5,178.78,Financial,136406.41,173110.67,26.91
Conferences and seminars,887,5,178.78,Food Stalls,9967.39,9967.39,0
Conferences and seminars,887,5,178.78,In Kind,47541.22,47541.22,0
Conferences and seminars,887,5,178.78,Philanthropy,91992.29,91992.29,0
Entertainment and media events,45627,3,95483.25,Merchandise,37061.39,74122.78,100
Entertainment and media events,45627,3,95483.25,Food Stalls,22345.19,44690.38,100
Entertainment and media events,45627,3,95483.25,Merchandise,18543.89,36376.8,96.17
Festivals and fairs,88506,4,0,In Kind,89038.09,178076.18,100
Festivals and fairs,88506,4,0,Media Sponsorship,77074.65,154149.3,100
Festivals and fairs,88506,4,0,Financial,15898.56,31797.12,100
Festivals and fairs,88506,4,0,Merchandise,47424.36,94848.72,100
Entertainment and media events,46900,1,58995.63,Media Sponsorship,15789.09,31578.18,100
Festivals and fairs,87007,4,0,Media Sponsorship,66155.74,132311.48,100
Festivals and fairs,87007,4,0,Merchandise,49166.18,98332.36,100
Festivals and fairs,87007,4,0,Merchandise,20983.4,41966.8,100
Festivals and fairs,87007,4,0,Food Stalls,584.59,1169.18,100
Conferences and seminars,2549,4,264.84,Food Stalls,5304.84,7667.69,44.54
Conferences and seminars,2549,4,264.84,Influencer,47002.13,94004.26,100
Conferences and seminars,2549,4,264.84,Merchandise,29495.44,58990.88,100
Conferences and seminars,2549,4,264.84,Philanthropy,65378.41,116871.68,78.76
Entertainment and media events,33957,3,5005.69,In Kind,99310.8,198621.6,100
Entertainment and media events,33957,3,5005.69,Media Sponsorship,4303.97,8607.94,100
Entertainment and media events,33957,3,5005.69,In Kind,28119.59,43545.45,54.86
Virtual event,6474,5,0,Influencer,38157.3,76314.6,100
Virtual event,6474,5,0,Media Sponsorship,83804.18,163464.38,95.06
Virtual event,6474,5,0,Influencer,16652.38,33304.76,100
Virtual event,6474,5,0,Media Sponsorship,66090.23,132180.46,100
Virtual event,6474,5,0,Philanthropy,97276.37,176397.43,81.34
Conferences and seminars,3613,2,308.4,Financial,109164.5,218329.0,100
Conferences and seminars,3613,2,308.4,Merchandise,49927.15,99854.3,100
Festivals and fairs,2761,4,0,Merchandise,29507.65,59015.3,100
Festivals and fairs,2761,4,0,Influencer,60504.02,121008.04,100
Festivals and fairs,2761,4,0,Philanthropy,87186.19,174372.38,100
Festivals and fairs,2761,4,0,Philanthropy,76722.39,153444.78,100
Conferences and seminars,966,5,254.68,Food Stalls,37596.14,46900.98,24.75
Conferences and seminars,966,5,254.68,Philanthropy,64175.41,64497.04,0.5
Conferences and seminars,966,5,254.68,Media Sponsorship,8236.79,9071.46,10.13
Conferences and seminars,966,5,254.68,Food Stalls,8427.45,8427.45,0
Conferences and seminars,966,5,254.68,Philanthropy,10025.93,10025.93,0
Sports events,88308,4,771.93,Influencer,88115.78,176231.56,100
Sports events,88308,4,771.93,Financial,3076.86,6153.72,100
Sports events,88308,4,771.93,Influencer,98174.97,196349.94,100
Sports events,88308,4,771.93,Media Sponsorship,46654.84,93309.68,100
Virtual event,6350,4,0,Merchandise,7978.48,15040.09,88.51
Virtual event,6350,4,0,Influencer,64959.78,129919.56,100
Virtual event,6350,4,0,Influencer,13899.16,26265.45,88.97
Virtual event,6350,4,0,In Kind,29418.67,55954.47,90.2
Entertainment and media events,33645,3,58589.2,Philanthropy,71260.06,123120.31,72.78
Entertainment and media events,33645,3,58589.2,Influencer,75235.67,150471.34,100
Entertainment and media events,33645,3,58589.2,Food Stalls,48159.1,77361.71,60.64
Conferences and seminars,1724,4,907.61,Influencer,90853.94,181707.88,100
Conferences and seminars,1724,4,907.61,Food Stalls,23973.04,31230.56,30.27
Conferences and seminars,1724,4,907.61,Merchandise,44347.07,68725.59,54.97
Conferences and seminars,1724,4,907.61,Influencer,6668.25,13336.5,100
Sports events,85472,3,626.66,Merchandise,1005.55,2011.1,100
Sports events,85472,3,626.66,Merchandise,6212.28,12424.56,100
Sports events,85472,3,626.66,Food Stalls,8777.59,17555.18,100
Sports events,44160,4,581.81,Merchandise,37198.7,74397.4,100
Sports events,44160,4,581.81,Influencer,59573.44,119146.88,100
Sports events,44160,4,581.81,Financial,191333.43,382666.86,100
Sports events,44160,4,581.81,Financial,88915.84,177831.68,100
Festivals and fairs,89844,1,0,Merchandise,23021.6,46043.2,100
Entertainment and media events,26886,5,43970.96,Financial,12590.73,25181.46,100
Entertainment and media events,26886,5,43970.96,Philanthropy,30199.8,46581.32,54.24
Entertainment and media events,26886,5,43970.96,Influencer,58919.73,117839.46,100
Entertainment and media events,26886,5,43970.96,Influencer,18169.69,36339.38,100
Entertainment and media events,26886,5,43970.96,Philanthropy,95813.93,191627.86,100
Sports events,79517,3,612.77,Merchandise,13330.41,26660.82,100
Sports events,79517,3,612.77,Food Stalls,1359.03,2718.06,100
Sports events,79517,3,612.77,Media Sponsorship,59651.0,119302.0,100
Virtual event,5122,2,0,Influencer,10124.82,20249.64,100
Virtual event,5122,2,0,Philanthropy,28219.16,56438.32,100
Community and Charity events,513,3,35.21,In Kind,29619.2,29619.2,0
Community and Charity events,513,3,35.21,Food Stalls,3362.25,3362.25,0
Community and Charity events,513,3,35.21,Merchandise,16312.27,16312.27,0
Sports events,55712,3,473.54,Philanthropy,82383.43,164766.86,100
Sports events,55712,3,473.54,Financial,150547.86,301095.72,100
Sports events,55712,3,473.54,In Kind,77898.3,155796.6,100
Sports events,96367,5,113.99,Food Stalls,41672.13,83344.26,100
Sports events,96367,5,113.99,Philanthropy,25596.2,39774.09,55.39
Sports events,96367,5,113.99,Media Sponsorship,92311.88,184623.76,100
Sports events,96367,5,113.99,Merchandise,21530.83,43061.66,100
Sports events,96367,5,113.99,Influencer,38135.72,76271.44,100
Sports events,25042,5,105.09,Media Sponsorship,96672.6,193345.2,100
Sports events,25042,5,105.09,Food Stalls,8704.99,15383.59,76.72
Sports events,25042,5,105.09,Influencer,36823.22,73646.44,100
Sports events,25042,5,105.09,Philanthropy,40252.58,80505.16,100
Sports events,25042,5,105.09,Influencer,53627.09,107254.18,100
Virtual event,6743,2,0,Philanthropy,27746.11,53231.18,91.85
Virtual event,6743,2,0,In Kind,28807.18,55224.36,91.7
Festivals and fairs,10604,1,0,Media Sponsorship,78763.0,157526.0,100
Entertainment and media events,31529,3,43641.97,Financial,185451.52,370903.04,100
Entertainment and media events,31529,3,43641.97,Financial,24712.47,49424.94,100
Entertainment and media events,31529,3,43641.97,Media Sponsorship,65370.79,130741.58,100
Sports events,54143,5,219.89,Philanthropy,36599.64,73199.28,100
Sports events,54143,5,219.89,Food Stalls,8613.52,16993.64,97.29
Sports events,54143,5,219.89,Media Sponsorship,83174.15,166348.3,100
Sports events,54143,5,219.89,Philanthropy,95274.0,190548.0,100
Sports events,54143,5,219.89,Philanthropy,36449.47,62634.78,71.84
Entertainment and media events,1967,3,81107.9,Financial,52969.24,105938.48,100
Entertainment and media events,1967,3,81107.9,In Kind,46072.72,92145.44,100
Entertainment and media events,1967,3,81107.9,Food Stalls,44799.58,89599.16,100
Virtual event,9679,1,0,Influencer,82245.27,150751.99,83.3
Community and Charity events,2152,3,946.37,Merchandise,41930.41,73203.86,74.58
Community and Charity events,2152,3,946.37,In Kind,7712.64,12667.22,64.24
Community and Charity events,2152,3,946.37,Media Sponsorship,96046.66,180932.57,88.38
